Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
159714138,N198043414,27/02/2025,S,DHHF,100,36.810,19.95,3661.05,3/03/2025,Confirmed,
158495240,N196612990,15/01/2025,B,DHHF,18,36.140,4.99,655.51,17/01/2025,Confirmed,
155653530,N193347062,1/10/2024,S,FFM,718,1.065,4.99,759.68,3/10/2024,Confirmed,
152681957,N189870575,17/06/2024,B,DHHF,45,33.370,10.00,1511.65,19/06/2024,Confirmed,
150563769,N187363870,21/03/2024,B,FFM,718,0.710,4.99,514.77,25/03/2024,Confirmed,
150563832,N187363942,21/03/2024,B,DHHF,45,33.010,10.00,1495.45,25/03/2024,Confirmed,
149721635,N186092938,21/02/2024,B,DHHF,16,31.800,4.99,513.79,23/02/2024,Confirmed,
149721931,N186093007,21/02/2024,B,DHHF,53,31.870,10.00,1699.11,23/02/2024,Confirmed,
148783943,N185232410,17/01/2024,B,DHHF,16,30.740,4.99,496.83,19/01/2024,Confirmed,
147673626,N183896730,27/11/2023,S,WC8,2222,0.868,10.00,1917.59,29/11/2023,Confirmed,
147248791,N183371731,8/11/2023,S,WC8,5000,0.835,19.95,4155.05,10/11/2023,Confirmed,
147165723,N183246669,6/11/2023,S,WC8,2778,1.000,10.00,2768.00,8/11/2023,Confirmed,
146843602,N182873344,23/10/2023,B,DHHF,57,28.550,10.00,1637.35,25/10/2023,Confirmed,
146013298,N181867662,18/09/2023,B,WC8,10000,0.380,19.95,3819.95,20/09/2023,Confirmed,

